id;nombre;imagen;imagen_content_type
1;fontaneria;../fake-data/blob/fontaneria.jpg;image/jpg
2;informatica;../fake-data/blob/informatica.jpg;image/jpg
3;construccion;../fake-data/blob/construccion.jpg;image/jpg
4;odontologia;../fake-data/blob/odontologia.jpg;image/jpg
5;enseñanza;../fake-data/blob/ensenanza.jpg;image/jpg
6;arquitectura;../fake-data/blob/arquitectura.jpg;image/jpg
7;medicina;../fake-data/blob/medicina.jpg;image/jpg
8;diseño;../fake-data/blob/diseno.jpg;image/jpg
9;seguridad;../fake-data/blob/seguridad.jpg;image/jpg
10;transporte;../fake-data/blob/transporte.jpg;image/jpg
